#time (s),x (m),y (m),theta (rad)
0.00,0.0,0.0,0.0
0.10,0.002,0.0,0.0
0.20,0.004,0.0,0.0
0.30,0.006,0.0,0.0
0.40,0.008,0.0,0.0
0.50,0.01,0.0,0.0
0.60,0.012,0.0,0.0
0.70,0.014,0.0,0.0
0.80,0.016,0.0,0.0
0.90,0.018000000000000002,0.0,0.0
1.00,0.020000000000000004,0.0,0.0
1.10,0.022000000000000006,0.0,0.0
1.20,0.024000000000000007,0.0,0.0
1.30,0.02600000000000001,0.0,0.0
1.40,0.02800000000000001,0.0,0.0
1.50,0.030000000000000013,0.0,0.0
1.60,0.032000000000000015,0.0,0.0
1.70,0.034000000000000016,0.0,0.0
1.80,0.03600000000000002,0.0,0.0
1.90,0.03800000000000002,0.0,0.0
2.00,0.04000000000000002,0.0,0.0
2.10,0.04200000000000002,0.0,0.0
2.20,0.044000000000000025,0.0,0.0
2.30,0.04600000000000003,0.0,0.0
2.40,0.04800000000000003,0.0,0.0
2.50,0.05000000000000003,0.0,0.0
2.60,0.05200000000000003,0.0,0.0
2.70,0.054000000000000034,0.0,0.0
2.80,0.056000000000000036,0.0,0.0
2.90,0.05800000000000004,0.0,0.0
3.00,0.06000000000000004,0.0,0.0
3.10,0.06200000000000004,0.0,0.0
3.20,0.06400000000000004,0.0,0.0
3.30,0.06600000000000004,0.0,0.0
3.40,0.06800000000000005,0.0,0.0
3.50,0.07000000000000005,0.0,0.0
3.60,0.07200000000000005,0.0,0.0
3.70,0.07400000000000005,0.0,0.0
3.80,0.07600000000000005,0.0,0.0
3.90,0.07800000000000006,0.0,0.0
4.00,0.08000000000000006,0.0,0.0
4.10,0.08200000000000006,0.0,0.0
4.20,0.08400000000000006,0.0,0.0
4.30,0.08600000000000006,0.0,0.0
4.40,0.08800000000000006,0.0,0.0
4.50,0.09000000000000007,0.0,0.0
4.60,0.09200000000000007,0.0,0.0
4.70,0.09400000000000007,0.0,0.0
4.80,0.09600000000000007,0.0,0.0
4.90,0.09800000000000007,0.0,0.0
5.00,0.10000000000000007,0.0,0.0
5.10,0.10200000000000008,0.0,0.0
5.20,0.10400000000000008,0.0,0.0
5.30,0.10600000000000008,0.0,0.0
5.40,0.10800000000000008,0.0,0.0
5.50,0.11000000000000008,0.0,0.0
5.60,0.11200000000000009,0.0,0.0
5.70,0.11400000000000009,0.0,0.0
5.80,0.11600000000000009,0.0,0.0
5.90,0.11800000000000009,0.0,0.0
6.00,0.12000000000000009,0.0,0.0
6.10,0.1220000000000001,0.0,0.0
6.20,0.1240000000000001,0.0,0.0
6.30,0.12600000000000008,0.0,0.0
6.40,0.12800000000000009,0.0,0.0
6.50,0.1300000000000001,0.0,0.0
6.60,0.1320000000000001,0.0,0.0
6.70,0.1340000000000001,0.0,0.0
6.80,0.1360000000000001,0.0,0.0
